ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPAC3A12.11c_43	cwf2	SPAC3A12.11c	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	7.197	1.048	1.103	1.522	4.555	9.313	7.791	3.629	2.648	83.795	-27.944	-28.568	0.9995	0.059	0.008227	0.0	2.749	5.43	6.618	7.097	7.183	0.107	2.725	5.422	6.7	7.059	7.157	-0.107	0.024	0.008	-0.082	0.038	0.026	4
SPAPB8E5.07c_213	rrp12	SPAPB8E5.07c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.348	0.962	0.213	0.743	4.577	10.594	9.851	3.407	3.071	95.787	-7.7	-8.325	0.988104	0.319	0.037068	0.0	3.699	5.826	7.133	7.836	8.613	0.457	3.355	5.919	7.435	8.011	8.219	-0.457	0.344	-0.093	-0.302	-0.175	0.394	5
SPBC947.13_17	rba50	SPBC947.13	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.69	1.134	1.732	2.524	8.248	17.229	14.705	6.5	5.404	117.424	-5.961	-6.586	0.993936	0.369	0.028986	0.0	2.781	5.519	9.113	12.338	12.733	0.295	2.433	5.762	9.353	11.72	13.066	-0.295	0.348	-0.243	-0.24	0.618	-0.333	7
SPBC13G1.11_35	ykt6	SPBC13G1.11	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.078	1.161	1.203	1.944	7.299	15.703	13.759	5.664	5.179	124.183	-3.274	-3.898	0.990225	0.462	0.036445	0.0	3.383	6.263	9.526	12.669	12.536	0.4	2.982	6.502	9.877	11.888	12.946	-0.4	0.401	-0.239	-0.351	0.781	-0.41	7
SPAC23C11.17_79	mdm28	SPAC23C11.17	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.723	1.093	2.953	3.887	10.642	21.243	17.356	8.58	6.152	102.585	-6.094	-6.719	0.994401	0.365	0.026404	0.0	1.541	4.608	7.685	10.668	13.824	0.169	1.549	4.257	7.997	11.096	13.218	-0.169	-0.008	0.351	-0.312	-0.428	0.606	7
SPAC9E9.07c_19	ypt2	SPAC9E9.07c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.083	1.319	2.211	2.863	7.579	14.979	12.117	6.139	5.181	120.711	-6.489	-7.113	0.994819	0.353	0.027505	0.0	2.582	5.523	10.227	12.447	12.841	0.119	2.194	6.069	9.949	12.122	13.162	-0.119	0.388	-0.546	0.278	0.325	-0.321	7
SPBC16G5.14c_57	rps3	SPBC16G5.14c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.708	1.51	0.521	1.035	4.752	10.584	9.549	3.617	4.675	144.022	-5.347	-5.972	0.992573	0.388	0.031323	0.0	5.286	8.339	11.561	12.358	12.401	0.51	4.805	8.903	11.319	12.212	12.525	-0.51	0.481	-0.564	0.242	0.146	-0.124	8
SPAC57A7.06_126	utp14	SPAC57A7.06	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.891	1.081	0.58	0.969	3.784	8.201	7.231	2.925	2.535	85.686	-17.443	-18.068	0.996754	0.142	0.020534	0.0	3.511	5.484	6.683	6.817	6.904	0.212	3.363	5.697	6.6	6.818	6.872	-0.212	0.148	-0.213	0.083	-0.001	0.032	4
SPBC20F10.01_40	gar1	SPBC20F10.01	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	8.658	0.842	1.329	1.957	6.499	13.626	11.669	5.112	3.185	82.98	-17.795	-18.42	0.997928	0.138	0.016892	0.0	2.162	4.463	6.682	7.973	8.15	0.182	2.028	4.577	6.714	7.786	8.265	-0.182	0.134	-0.114	-0.032	0.187	-0.115	4
SPCC74.01_75	sly1	SPCC74.01	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.614	1.19	1.341	1.937	6.248	13.013	11.076	4.932	4.273	114.253	-2.248	-2.872	0.985165	0.503	0.043483	0.0	3.096	6.165	9.047	11.566	10.567	0.224	2.841	6.427	9.276	10.619	11.187	-0.224	0.255	-0.262	-0.229	0.947	-0.62	5
