systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPAC1002.16c,tna1,WT,V,20th_round_329,,48.0,44.0,0.92,21.0,1.0,0.95,0.988,0.937,0.917,0.897,0.917,0.897,0.864,0.84
SPAC10F6.03c,cts1,E,E,22th_round_434,,,,,,,,,,,,,,,
SPAC11E3.08c,nse6,"E,small colonies",E,17th_round_225,17th_round_225_#1: 一半左右一个长一个不长;17th_round_225_#2: 一半左右一个长一个不长,96.0,88.0,0.92,23.0,21.0,0.52,0.0,0.0,0.0,0.012,0.002,0.01,0.029,0.048
SPAC11E3.09,pyp3,WT,V,17th_round_226,,96.0,92.0,0.96,43.0,3.0,0.93,1.044,0.982,0.951,0.963,0.931,0.94,0.939,0.944
SPAC11G7.02,pub1,small colonies,V,2nd_round_48,,96.0,96.0,1.0,45.0,3.0,0.94,0.186,0.234,0.274,0.293,0.168,0.238,0.271,0.298
SPAC11H11.04,mam2,WT,V,17th_round_227,,96.0,96.0,1.0,48.0,0.0,1.0,1.012,1.017,1.021,1.056,0.998,1.009,1.013,1.014
SPAC1250.01,snf21,E,E,22th_round_416,,,,,,,,,,,,,,,
SPAC1296.06,tah18,E,E,2nd_round_49,,,,,,,,,,,,,,,
SPAC12B10.01c,hul6,WT,V,"16th_round_205,17th_round_228",,192.0,180.0,0.94,89.0,1.0,0.99,0.922,0.934,0.99,1.037,0.926,0.942,0.972,0.975
SPAC12B10.02c,sdg1,E,E,"20th_round_330,23th_round_330",,,,,,,,,,,,,,,
SPAC12G12.04,mcp60,E,E,16th_round_197,,,,,,,,,,,,,,,
SPAC12G12.13c,cid14,very small colonies,V,12th_round_143,12th_round_143_#1: 克隆部分轻微可见;12th_round_143_#2: 克隆部分轻微可见,96.0,84.0,0.88,25.0,17.0,0.6,0.0,0.0,0.0,0.004,0.005,0.0,0.001,0.005
SPAC12G12.16c,SPAC12G12.16c,small colonies,V,18th_round_306,18th_round_306_#1: 克隆可见但转印后难长;18th_round_306_#2: 克隆可见但转印后难长,48.0,44.0,0.92,22.0,0.0,1.0,0.105,0.1,0.086,0.081,0.116,0.101,0.089,0.083
SPAC13C5.01c,pre9,"E,small colonies",E,2nd_round_50,2nd_round_50_#1: 克隆部分可见;2nd_round_50_#2: 克隆部分可见,96.0,92.0,0.96,15.0,31.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007
SPAC13C5.05c,SPAC13C5.05c,E,E,2nd_round_51,,,,,,,,,,,,,,,
SPAC13G6.07c,rps601,small colonies,V,2nd_round_52,,96.0,92.0,0.96,45.0,1.0,0.98,0.377,0.493,0.533,0.545,0.372,0.483,0.534,0.559
SPAC13G6.09,tsr402,small colonies,V,12th_round_144,,96.0,88.0,0.92,44.0,0.0,1.0,0.2,0.333,0.394,0.41,0.202,0.32,0.366,0.39
SPAC140.02,gar2,small colonies,V,22th_round_381,,52.0,52.0,1.0,12.0,14.0,0.46,0.038,,,0.0,0.047,,,0.226
SPAC144.11,rps1102,small colonies,V,17th_round_229,,96.0,80.0,0.83,40.0,0.0,1.0,0.515,0.6,0.641,0.627,0.503,0.593,0.625,0.64
SPAC144.13c,srw1,"E,WT",E,"2nd_round_53,17th_round_230",2nd_round_53_#1: 2，3，4个都有;2nd_round_53_#2: 2，3，4个都有,192.0,184.0,0.96,42.0,50.0,0.46,0.0,0.0,0.0,0.0,0.407,0.422,0.43,0.437
SPAC1486.02c,dsc2,WT,V,2nd_round_54,,96.0,92.0,0.96,45.0,1.0,0.98,0.861,0.83,0.779,0.751,0.845,0.827,0.826,0.825
SPAC1486.04c,alm1,small colonies,V,16th_round_201,,96.0,92.0,0.96,43.0,3.0,0.93,0.055,0.169,0.245,0.314,0.059,0.192,0.267,0.289
SPAC1486.05,nup189,E,E,16th_round_185,,,,,,,,,,,,,,,
SPAC14C4.14,atp1,small colonies,V,16th_round_217,,96.0,92.0,0.96,45.0,1.0,0.98,0.234,0.315,0.363,0.346,0.234,0.3,0.343,0.349
SPAC1556.05c,cgr1,small colonies,V,2nd_round_55,,96.0,92.0,0.96,45.0,1.0,0.98,0.029,0.14,0.177,0.198,0.03,0.136,0.185,0.207
SPAC15A10.01,atm1,E,E,19th_round_312,,,,,,,,,,,,,,,
SPAC15A10.03c,rad54,"E,small colonies",E,22th_round_382,22th_round_382_#LV405: 克隆可见但很小，且大部分一个可见一个可见,52.0,52.0,1.0,15.0,11.0,0.58,0.0,,,0.013,0.0,,,0.019
SPAC15A10.12c,tca17,E,E,19th_round_313,,,,,,,,,,,,,,,
SPAC15E1.04,hal3,E,E,2nd_round_56,,,,,,,,,,,,,,,
SPAC15E1.10,fub1,WT,V,17th_round_231,,96.0,84.0,0.88,42.0,0.0,1.0,1.059,1.014,0.974,0.96,1.062,1.05,1.045,1.027
SPAC1687.13c,csn5,WT,V,17th_round_232,,48.0,40.0,0.83,20.0,0.0,1.0,0.859,0.895,0.948,0.959,0.861,0.879,0.923,0.946
SPAC1687.20c,mis6,E,E,16th_round_202,,,,,,,,,,,,,,,
SPAC16C9.03,nmd3,E,E,22th_round_432,,,,,,,,,,,,,,,
SPAC16E8.17c,sca1,WT,V,17th_round_233,,96.0,88.0,0.92,44.0,0.0,1.0,1.014,1.009,0.97,0.948,1.002,1.017,1.016,1.016
SPAC1783.08c,rpl1502,small colonies,V,17th_round_234,,96.0,84.0,0.88,42.0,0.0,1.0,0.461,0.59,0.639,0.599,0.462,0.599,0.666,0.715
SPAC17A5.14,exo2,small colonies,V,2nd_round_57,,96.0,72.0,0.75,35.0,1.0,0.97,0.0,0.111,0.2,0.223,0.005,0.116,0.194,0.235
SPAC17A5.15c,gus1,E,E,16th_round_186,,,,,,,,,,,,,,,
SPAC17C9.05c,pmc3,small colonies,V,17th_round_235,,96.0,96.0,1.0,48.0,0.0,1.0,0.606,0.65,0.686,0.703,0.595,0.648,0.671,0.676
SPAC17C9.06,sam50,E,E,19th_round_314,,,,,,,,,,,,,,,
SPAC17C9.13c,cut8,E,E,22th_round_379,,,,,,,,,,,,,,,
SPAC17G6.04c,cpp1,very small colonies,V,22th_round_371,22th_round_371_#1: 克隆可见但很小,52.0,48.0,0.92,17.0,7.0,0.71,0.0,,,0.008,0.0,,,0.011
SPAC17G6.12,cul1,E,E,22th_round_405,,,,,,,,,,,,,,,
SPAC17G8.02,urh2,WT,V,20th_round_331,,96.0,88.0,0.92,42.0,2.0,0.95,1.035,1.034,1.033,1.053,0.962,0.979,1.0,1.027
SPAC17G8.04c,arc5,E,E,22th_round_425,,,,,,,,,,,,,,,
SPAC17G8.06c,ilv3,"E,small colonies",E,"12th_round_145,19th_round_315",12th_round_145_#1: 不都是一个长一个不长;12th_round_145_#2: 不都是一个长一个不长,192.0,184.0,0.96,60.0,32.0,0.65,0.0,0.012,0.047,0.067,0.06,0.08,0.098,0.11
